session,timestamp,epoch,loss
127,1979-01-02T19-15-00,1,0.658762
128,1979-01-02T19-30-00,1,0.659394
129,1979-01-02T19-45-00,1,0.655404
130,1979-01-02T20-00-00,1,0.655000
131,1979-01-02T20-15-00,1,0.656060
132,1979-01-02T20-30-00,1,0.656196
133,1979-01-02T20-45-00,1,0.652345
134,1979-01-02T21-00-00,1,0.651693
135,1979-01-02T21-15-00,1,0.653351
136,1979-01-02T21-30-00,1,0.650132
137,1979-01-02T21-45-00,1,0.653574
138,1979-01-02T22-00-00,1,0.651874
139,1979-01-02T22-15-00,1,0.650314
140,1979-01-02T22-30-00,1,0.650305
141,1979-01-02T22-45-00,1,0.646512
142,1979-01-02T23-00-00,1,0.646432
143,1979-01-02T23-15-00,1,0.648506
144,1979-01-02T23-30-00,1,0.645200
145,1979-01-02T23-45-00,1,0.648604
146,1979-01-03T00-00-00,1,0.649054
147,1979-01-03T00-15-00,1,0.647678
148,1979-01-03T00-30-00,1,0.644607
149,1979-01-03T00-45-00,1,0.646224
150,1979-01-03T01-00-00,1,0.639909
151,1979-01-03T01-15-00,1,0.646265
152,1979-01-03T01-30-00,1,0.645762
153,1979-01-03T01-45-00,1,0.646731
154,1979-01-03T02-00-00,1,0.644692
155,1979-01-03T02-15-00,1,0.644688
156,1979-01-03T02-30-00,1,0.641931
157,1979-01-03T02-45-00,1,0.642817
158,1979-01-03T03-00-00,1,0.640524
159,1979-01-03T03-15-00,1,0.640638
160,1979-01-03T03-30-00,1,0.642459
161,1979-01-03T03-45-00,1,0.641769
162,1979-01-03T04-00-00,1,0.643683
163,1979-01-03T04-15-00,1,0.646279
164,1979-01-03T04-30-00,1,0.639592
165,1979-01-03T04-45-00,1,0.639653
166,1979-01-03T05-00-00,1,0.639870
167,1979-01-03T05-15-00,1,0.639803
168,1979-01-03T05-30-00,1,0.636448
169,1979-01-03T05-45-00,1,0.640296
170,1979-01-03T06-00-00,1,0.641748
171,1979-01-03T06-15-00,1,0.638755
172,1979-01-03T06-30-00,1,0.636329
173,1979-01-03T06-45-00,1,0.639512
174,1979-01-03T07-00-00,1,0.638322
175,1979-01-03T07-15-00,1,0.638867
176,1979-01-03T07-30-00,1,0.638768
177,1979-01-03T07-45-00,1,0.638376
178,1979-01-03T08-00-00,1,0.638224
179,1979-01-03T08-15-00,1,0.636747
180,1979-01-03T08-30-00,1,0.637902
181,1979-01-03T08-45-00,1,0.637761
182,1979-01-03T09-00-00,1,0.636897
183,1979-01-03T09-15-00,1,0.634498
184,1979-01-03T09-30-00,1,0.633591
185,1979-01-03T09-45-00,1,0.635234
186,1979-01-03T10-00-00,1,0.634919
187,1979-01-03T10-15-00,1,0.632600
188,1979-01-03T10-30-00,1,0.638206
189,1979-01-03T10-45-00,1,0.633699
190,1979-01-03T11-00-00,1,0.637756
191,1979-01-03T11-15-00,1,0.636015
192,1979-01-03T11-30-00,1,0.638990
193,1979-01-03T11-45-00,1,0.632697
194,1979-01-03T12-00-00,1,0.632883
195,1979-01-03T12-15-00,1,0.636068
196,1979-01-03T12-30-00,1,0.634208
197,1979-01-03T12-45-00,1,0.634452
198,1979-01-03T13-00-00,1,0.633821
199,1979-01-03T13-15-00,1,0.635688
200,1979-01-03T13-30-00,1,0.632592
201,1979-01-03T13-45-00,1,0.630743
202,1979-01-03T14-00-00,1,0.634501
203,1979-01-03T14-15-00,1,0.635867
204,1979-01-03T14-30-00,1,0.632421
205,1979-01-03T14-45-00,1,0.633071
206,1979-01-03T15-00-00,1,0.630059
207,1979-01-03T15-15-00,1,0.629912
208,1979-01-03T15-30-00,1,0.635825
209,1979-01-03T15-45-00,1,0.634321
210,1979-01-03T16-00-00,1,0.634102
211,1979-01-03T16-15-00,1,0.633155
212,1979-01-03T16-30-00,1,0.632649
213,1979-01-03T16-45-00,1,0.631352
214,1979-01-03T17-00-00,1,0.635012
